Date,Time,Source IP,Destination IP,Source Port,Destination Port
Jan,29,72.197.8.56,216.58.112.55,9258,40686
Jan,29,71.228.199.109,216.58.112.55,37091,40686
Jan,29,99.248.20.48,216.58.112.55,48725,40686
Jan,29,75.117.31.43,216.58.112.55,3122,40686
Jan,29,58.160.93.74,216.58.112.55,24824,40686
Jan,29,69.115.209.62,216.58.112.55,52037,40686
Jan,29,71.228.199.109,216.58.112.55,2528,40686
Jan,29,63.227.65.151,216.58.112.55,63271,40686
Jan,29,76.87.248.152,216.58.112.55,61943,40686
Jan,29,201.26.136.92,216.58.112.55,61704,40686
Jan,29,70.189.221.153,216.58.112.55,4933,40686
Jan,29,59.100.237.219,216.58.112.55,3067,40686
Jan,29,66.214.36.72,216.58.112.55,63656,40686
Jan,29,24.174.141.170,216.58.112.55,41573,40686
Jan,29,99.251.241.22,216.58.112.55,15658,40686
Jan,29,75.27.233.174,216.58.112.55,9655,40686
Jan,29,91.139.26.208,216.58.112.55,4174,40686
Jan,29,72.129.201.114,216.58.112.55,36319,40686
Jan,29,79.186.174.12,216.58.112.55,6348,40686
Jan,29,71.228.199.109,216.58.112.55,2720,40686
Jan,29,69.139.205.220,216.58.112.55,1264,40686
Jan,29,66.24.36.155,216.58.112.55,65522,40686
Jan,29,210.213.141.86,216.58.112.55,61459,40686
Jan,29,66.24.36.155,216.58.112.55,65522,40686
Jan,29,205.250.109.214,216.58.112.55,4895,40686
Jan,29,72.129.201.114,216.58.112.55,36319,40686
Jan,29,68.43.45.155,216.58.112.55,31159,40686
Jan,29,68.46.224.58,216.58.112.55,16587,40686
Jan,29,71.194.107.51,216.58.112.55,1881,40686
Jan,29,67.8.58.212,216.58.112.55,43500,40686
Jan,29,24.149.194.222,216.58.112.55,63242,40686
Jan,29,72.230.93.214,216.58.112.55,62286,40686
Jan,29,67.173.3.23,216.58.112.55,54734,40686
Jan,29,75.171.122.220,216.58.112.55,60557,40686
Jan,29,68.81.84.44,216.58.112.55,61443,40686
Jan,29,67.173.3.23,216.58.112.55,54734,40686
Jan,29,75.132.195.128,216.58.112.55,1840,40686
Jan,29,68.206.75.25,216.58.112.55,18422,40686
Jan,29,75.171.122.220,216.58.112.55,8870,40686
Jan,29,72.129.201.114,216.58.112.55,36319,40686
Jan,29,24.166.109.127,216.58.112.55,39765,40686
Jan,29,76.250.142.171,216.58.112.55,36318,40686
Jan,29,69.115.209.62,216.58.112.55,52728,40686
Jan,29,99.251.241.22,216.58.112.55,64158,40686
Jan,29,72.129.201.114,216.58.112.55,58327,40686
Jan,29,72.129.201.114,216.58.112.55,58327,40686
Jan,29,69.115.209.62,216.58.112.55,52728,40686
Jan,29,71.194.107.51,216.58.112.55,1881,40686
Jan,29,74.12.248.246,216.58.112.55,60066,40686
Jan,29,98.207.166.40,216.58.112.55,61989,40686
Jan,29,70.189.221.153,216.58.112.55,39280,40686
Jan,29,68.206.75.25,216.58.112.55,18422,40686
Jan,29,83.8.141.56,216.58.112.55,1212,40686
Jan,29,24.67.56.239,216.58.112.55,2921,40686
Jan,29,24.166.109.127,216.58.112.55,3430,40686
Jan,29,72.229.247.131,216.58.112.55,1880,40686
Jan,29,24.67.56.239,216.58.112.55,2921,40686
Jan,29,75.138.144.249,216.58.112.55,1831,40686
Jan,29,75.138.144.249,216.58.112.55,1832,40686
Jan,29,99.237.83.20,216.58.112.55,46011,40686
Jan,29,67.174.105.41,216.58.112.55,10794,40686
Jan,29,98.207.166.40,216.58.112.55,61989,40686
Jan,29,71.228.199.109,216.58.112.55,37091,40686
Jan,29,70.189.221.153,216.58.112.55,39280,40686
Jan,29,67.174.105.41,216.58.112.55,4358,40686
Jan,29,74.161.10.148,216.58.112.55,10306,40686
Jan,29,122.24.143.91,216.58.112.55,1098,40686
Jan,29,98.207.166.40,216.58.112.55,60001,40686
Jan,29,67.174.105.41,216.58.112.55,4358,40686
Jan,29,75.117.31.43,216.58.112.55,61089,40686
Jan,29,74.161.10.148,216.58.112.55,10306,40686
Jan,29,76.26.35.233,216.58.112.55,6346,40686
Jan,29,68.81.84.44,216.58.112.55,63422,40686
Jan,29,74.133.109.145,216.58.112.55,31706,40686
Jan,29,24.166.109.127,216.58.112.55,39765,40686
Jan,29,24.165.92.109,216.58.112.55,3515,40686
Jan,29,79.64.233.230,216.58.112.55,2073,40686
Jan,29,24.165.92.109,216.58.112.55,3515,40686
Jan,29,79.64.233.230,216.58.112.55,2074,40686
Jan,29,203.173.191.14,216.58.112.55,4644,40686
Jan,29,203.173.191.14,216.58.112.55,4645,40686
